Titel,Youtube code,
Ukelele stemmen,SzpRGvHc_rs,
Berend Botje - refrein zonder akkoord,mSIMVr76czc,
Vader Jakob,4xbht7-iJ3E,
In het bos - Cm,SnpJzRBMKPQ,
'k Ving vandaag een grote mug,mgsJET9u8lA,
Berend Botje - toonsoort F,RtA5SCuXMKg,
Advocaatje ging op reis,oXym-OZbBeI,
Vader Jakob - met dubbele slag,9QVJo3QQjkw,
Met trommel en trompet,3tL5zYRM_1c,
Berend Botje - toonsoort C,igsgxDPei3c,
In Holland staat een huis,80ZQAR5MvZ4,
Zakdoekje leggen,7R3adzQ8J5c,
Boer wat zeg je van mijn kippen,9qOyC_pIHK8,
Tikke takke regen - met G en D,cYZn8drIhos,
Zeg ken jij de mosselman - met G C D,32WxyeiRimw,
'k Ving vandaag een grote mug - met wisselslag,8nlrOeHEX6U,
Er is er een jarig,6Q33OE9Lulc,
'k Ving vandaag een grote mug - met dubbele wisselslag,ytZdeXgI_vE,
Tikke takke regen - met G en D7,DzlE8wjqXOY,
"Zeg, ken jij de mosselman - met D7",5PcTXBpIoSQ,
Opa bakkebaard,JYw8E4ZulQg,
"Zagen, zagen",psQVCMuCeTA,
In het bos - toonsoort Dm,m-tPMF7QwFA,
Storm op zee - Dm,_xhpObALgfI,
Er zaten zeven kikkertjes - tel 1 en 4 met metronoom,IprRm7oDiU4,
Er zaten zeven kikkertjes - tel 1 en 4,UKhW4Nujlds,
Er zaten zeven kikkertjes - tel 123456,tsazTEOrfSw,
"Slaap, kindje slaap",K0uhJMNy-BE,
Komt vrienden in het ronde,urHmOUC5b6k,
'k Zag twee beren,OmWwq2XucqQ,
In ied’re kleine appel,Szo-nKvBZ9A,
Schipper mag ik overvaren,ZJmviMMOU6U,
Fietsie foetsie - toonsoort Cm,_GCGdN0LwDo,
In het bos - toonsoort Cm,RR_2ibwoplo,
Zeventien dappere houten soldaatjes,EV1vc-1snXY,
Twee emmertjes water halen,v5zL0SC5QpM,
"Hé daar, is er niemand thuis",P6JzHU_BOj4,
"Zeg, ken jij de mosselman - A Bm7 E7",GnpNQ7wBwGM,
"Zeg, ken jij de mosselman - A Bm7 E",QLncu3Oa2a4,
Het regent - toonsoort A,ZOPAzNe4riM,
Het regent - toonsoort E,FKyLvQRwL7Y,
'k Heb een tante in Marokko,AIFVLNH82SM,
Allen die willen te kaap’ren varen,dshGsCoK1Uw,
De rivier de Rhône - met Em en D,0rrudvNqDI0,
De rivier de Rhône - met Em en B7,kz7xd_lb5VQ,
Daar zat een klein kaboutertje,CDfqxUJkOPE,
De rivier de Rhône - toonsoort C#m,NjL9erxcUOM,
Met trommel en trompet - toonsoort F#,ON21G5jxTNQ,
Het regent - toonsoort B,GWXDF3G5x0g,
De verliefde stierós,8eLXfyFeJK4,
"O, wat zijn we heden blij - met capoverhogingen",mAKt6GBCPUM,
Een treintje ging uit rijden,ODBHT83TY-o,
De rivier de Rhone - met verhoging,OkW5d0dD3IA,
Tikke takke regen - Fingerpicking 1-delig patroon,GzqUg-cugF0,
Tikke takke regen - Fingerpicking 2-delig patroon,EDY3nLGaXF8,
Tikke takke regen - Fingerpicking langzaam 4-delig patroon,bkAEcVRB5CI,
Tikke takke regen - Fingerpicking snel 4-delig patroon,NP0jP6OSIgs,
Boer wat zeg je van mijn kippen - Fingerpicking 3-delig patroon ,cUDX72is-pw,
Er zaten zeven kikkertjes - Fingerpicking 3-delig patroon ,u0ZQySzKa-E,
Boer wat zeg je van mijn kippen - Fingerpicking 6-delig patroon,DNkH4HFk8fw,
Er zaten zeven kikkertjes - Fingerpicking 6-delig patroon ,_1Iv1WAKV80,
Welgefeliciteerd - melodie op 1 snaar - tabs op ukelele,DCzVmQh51Kk,
Welgefeliciteerd - melodie op meer snaren - tabs op ukelele,sl5TU8wsvE4,
Welgefeliciteerd - meerstemmig - tabs op ukelele,kxbKe7pdO00,
"Hoofd, schouders, knie en teen",vRnXyDXZNbw,
